Mode of entry,Month/Year,Visitor Origin,Country,Number of Visitors (Rounded to nearest hundred)
Air,10/01/2006 12:00:00 AM,South Atlantic,United States,2300
Air,10/01/2006 12:00:00 AM,East South Central,United States,200
Air,10/01/2006 12:00:00 AM,West South Central,United States,500
Air,10/01/2006 12:00:00 AM,Mountain,United States,300
Air,10/01/2006 12:00:00 AM,Pacific,United States,1500
Air,10/01/2006 12:00:00 AM,United Kingdom,Overseas,2900
Air,10/01/2006 12:00:00 AM,Germany,Overseas,4700
Air,10/01/2006 12:00:00 AM,Other Europe,Overseas,2000
Air,10/01/2006 12:00:00 AM,Other Overseas,Overseas,1400
Road,10/01/2006 12:00:00 AM,Atlantic Canada,Canada,96900
Road,10/01/2006 12:00:00 AM,Quebec,Canada,2000
Road,10/01/2006 12:00:00 AM,Ontario,Canada,11100
Road,10/01/2006 12:00:00 AM,Western Canada,Canada,1400
Road,10/01/2006 12:00:00 AM,Maine (by road only),United States,1500
Road,10/01/2006 12:00:00 AM,Other New England,United States,3300
Road,10/01/2006 12:00:00 AM,Middle Atlantic,United States,1900
Road,10/01/2006 12:00:00 AM,East North Central,United States,1000
Road,10/01/2006 12:00:00 AM,West North Central,United States,300
Road,10/01/2006 12:00:00 AM,South Atlantic,United States,1300
Road,10/01/2006 12:00:00 AM,East South Central,United States,200
Road,10/01/2006 12:00:00 AM,West South Central,United States,300
Road,10/01/2006 12:00:00 AM,Mountain,United States,400
Road,10/01/2006 12:00:00 AM,Pacific,United States,400
Road,10/01/2006 12:00:00 AM,Overseas,Overseas,0
Air,11/01/2006 12:00:00 AM,Atlantic Canada,Canada,5800
Air,11/01/2006 12:00:00 AM,Quebec,Canada,3800
Air,11/01/2006 12:00:00 AM,Western Canada,Canada,3900
Air,11/01/2006 12:00:00 AM,New England (inc Maine),United States,1300
Air,11/01/2006 12:00:00 AM,Middle Atlantic,United States,1100
Air,11/01/2006 12:00:00 AM,East North Central,United States,700
Air,11/01/2006 12:00:00 AM,West North Central,United States,100
Air,11/01/2006 12:00:00 AM,South Atlantic,United States,1200
Air,11/01/2006 12:00:00 AM,East South Central,United States,100
Air,11/01/2006 12:00:00 AM,West South Central,United States,500
Air,11/01/2006 12:00:00 AM,Mountain,United States,300
Air,11/01/2006 12:00:00 AM,Pacific,United States,500
Air,11/01/2006 12:00:00 AM,United Kingdom,Overseas,700
Air,11/01/2006 12:00:00 AM,Germany,Overseas,200
Air,11/01/2006 12:00:00 AM,Other Europe,Overseas,1000
Air,11/01/2006 12:00:00 AM,Other Overseas,Overseas,1800
Road,11/01/2006 12:00:00 AM,Atlantic Canada,Canada,80000
Road,11/01/2006 12:00:00 AM,Quebec,Canada,1100
Road,11/01/2006 12:00:00 AM,Ontario,Canada,4400
Road,11/01/2006 12:00:00 AM,Western Canada,Canada,400
Road,11/01/2006 12:00:00 AM,Maine (by road only),United States,600
Road,11/01/2006 12:00:00 AM,Other New England,United States,1100
Road,11/01/2006 12:00:00 AM,Middle Atlantic,United States,400
Road,11/01/2006 12:00:00 AM,East North Central,United States,100
Road,11/01/2006 12:00:00 AM,West North Central,United States,100
Road,11/01/2006 12:00:00 AM,South Atlantic,United States,200
Road,11/01/2006 12:00:00 AM,East South Central,United States,0
Road,11/01/2006 12:00:00 AM,West South Central,United States,0
Road,11/01/2006 12:00:00 AM,Mountain,United States,0
Road,11/01/2006 12:00:00 AM,Pacific,United States,100
Road,11/01/2006 12:00:00 AM,Overseas,Overseas,0
Air,12/01/2006 12:00:00 AM,Atlantic Canada,Canada,6000
Air,12/01/2006 12:00:00 AM,Quebec,Canada,2800
Air,12/01/2006 12:00:00 AM,Ontario,Canada,16400
Air,12/01/2006 12:00:00 AM,Western Canada,Canada,5600
Air,12/01/2006 12:00:00 AM,New England (inc Maine),United States,500
Air,12/01/2006 12:00:00 AM,Middle Atlantic,United States,600
Air,12/01/2006 12:00:00 AM,East North Central,United States,300
Air,12/01/2006 12:00:00 AM,West North Central,United States,100
Air,12/01/2006 12:00:00 AM,South Atlantic,United States,700
Air,12/01/2006 12:00:00 AM,East South Central,United States,200
Air,12/01/2006 12:00:00 AM,West South Central,United States,200
Air,12/01/2006 12:00:00 AM,Mountain,United States,200
Air,12/01/2006 12:00:00 AM,Pacific,United States,400
Air,12/01/2006 12:00:00 AM,United Kingdom,Overseas,1400
Air,12/01/2006 12:00:00 AM,Germany,Overseas,300
Air,12/01/2006 12:00:00 AM,Other Europe,Overseas,1000
Air,12/01/2006 12:00:00 AM,Other Overseas,Overseas,400
Road,12/01/2006 12:00:00 AM,Atlantic Canada,Canada,74600
Road,12/01/2006 12:00:00 AM,Quebec,Canada,700
Road,12/01/2006 12:00:00 AM,Ontario,Canada,4700
Road,12/01/2006 12:00:00 AM,Western Canada,Canada,200
Road,12/01/2006 12:00:00 AM,Maine (by road only),United States,400
Road,12/01/2006 12:00:00 AM,Other New England,United States,700
Road,12/01/2006 12:00:00 AM,Middle Atlantic,United States,200
Road,12/01/2006 12:00:00 AM,East North Central,United States,100
Road,12/01/2006 12:00:00 AM,West North Central,United States,0
Road,12/01/2006 12:00:00 AM,South Atlantic,United States,100
Road,12/01/2006 12:00:00 AM,East South Central,United States,0
Road,12/01/2006 12:00:00 AM,West South Central,United States,0
Road,12/01/2006 12:00:00 AM,Mountain,United States,0
Road,12/01/2006 12:00:00 AM,Pacific,United States,0
Road,12/01/2006 12:00:00 AM,Overseas,Overseas,0
Air,01/01/2007 12:00:00 AM,Atlantic Canada,Canada,7900
Air,01/01/2007 12:00:00 AM,Quebec,Canada,3600
Air,01/01/2007 12:00:00 AM,Ontario,Canada,14800
Air,01/01/2007 12:00:00 AM,Western Canada,Canada,5700
Air,01/01/2007 12:00:00 AM,New England (inc Maine),United States,500
Air,01/01/2007 12:00:00 AM,Middle Atlantic,United States,500
Air,01/01/2007 12:00:00 AM,East North Central,United States,400
Air,01/01/2007 12:00:00 AM,West North Central,United States,100
Air,01/01/2007 12:00:00 AM,South Atlantic,United States,900
Air,01/01/2007 12:00:00 AM,East South Central,United States,100
Air,01/01/2007 12:00:00 AM,West South Central,United States,300
Air,01/01/2007 12:00:00 AM,Mountain,United States,200
Air,01/01/2007 12:00:00 AM,Pacific,United States,400
Air,01/01/2007 12:00:00 AM,United Kingdom,Overseas,1100
Air,01/01/2007 12:00:00 AM,Germany,Overseas,400
Air,01/01/2007 12:00:00 AM,Other Europe,Overseas,700
Air,01/01/2007 12:00:00 AM,Other Overseas,Overseas,900
